id,sub_major_id,name
1,1,LEGISLATORS AND SENIOR OFFICIALS
2,1,"MANAGING DIRECTORS, CHIEF EXECUTIVES AND GENERAL MANAGERS"
3,2,BUSINESS SERVICES AND ADMINISTRATION MANAGERS
4,2,"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS"
5,3,PRODUCTION MANAGERS IN AGRICULTURE AND FISHERIES
6,3,"MANUFACTURING, CONSTRUCTION, TRANSPORT, DISTRIBUTION AND OTHER PRODUCTION AND OPERATIONS MANAGERS"
7,3,INFORMATION AND COMMUNICATIONS TECHNOLOGY SERVICE MANAGERS
8,3,"PROFESSIONAL, FINANCIAL, COMMUNITY AND SOCIAL SERVICES MANAGERS"
9,4,HOTEL AND FOOD AND BEVERAGES SERVICES MANAGERS
10,4,RETAIL AND WHOLESALE TRADE MANAGERS
11,4,OTHER SERVICES MANAGERS
12,5,PHYSICAL AND EARTH SCIENCE PROFESSIONALS
13,5,"MATHEMATICIANS, ACTUARIES, STATISTICIANS AND OTHER RELATED PROFESSIONALS"
14,5,LIFE SCIENCE PROFESSIONALS
15,5,ENGINEERING PROFESSIONALS 
16,5,ENGINEERING PROFESSIONALS II (Con'td)
17,5,"ARCHITECTS, PLANNERS, SURVEYORS AND DESIGNERS"
18,5,SHIP AND AIRCRAFT RELATED PROFESSIONALS
19,6,MEDICAL DOCTORS
20,6,NURSING PROFESSIONALS
21,6,TRADITIONAL AND COMPLEMENTARY MEDICINE PROFESSIONALS
22,6,VETERINARIANS
23,6,OTHER HEALTH PROFESSIONALS
24,7,"UNIVERSITY, POLYTECHNIC AND HIGHER EDUCATION TEACHERS"
25,7,JUNIOR COLLEGE AND PRE-UNIVERSITY EDUCATION TEACHERS
26,7,VOCATIONAL EDUCATION TEACHERS AND TRAINERS
27,7,SECONDARY EDUCATION TEACHERS
28,7,PRIMARY EDUCATION TEACHERS
29,7,OTHER TEACHING PROFESSIONALS
30,8,FINANCE PROFESSIONALS
31,8,ADMINISTRATION PROFESSIONALS
32,8,MARKETING AND PUBLIC RELATIONS PROFESSIONALS
33,9,SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS
34,9,"DATABASE, NETWORK, INFRASTRUCTURE AND CYBERSECURITY"
35,10,LEGAL PROFESSIONALS
36,10,"LIBRARIANS, ARCHIVISTS AND CURATORS"
37,10,SOCIAL SCIENCE RESEARCHERS AND PROFESSIONALS; RELIGIOUS PROFESSIONALS
38,10,"AUTHORS, JOURNALISTS AND EDITORS"
39,10,CREATIVE AND PERFORMING ARTISTS
40,11,ASSISTANT ENGINEERS
41,11,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS I
42,11,PHYSICAL AND ENGINEERING SCIENCE TECHNICIANS II
43,11,PROCESS CONTROL TECHNICIANS
44,11,LIFE SCIENCE TECHNICIANS AND RELATED ASSOCIATE PROFESSIONALS
