id,unitgroup_id,code,name
1,1,11110,Legislator
2,2,11121,Senior government official
3,2,11122,Senior statutory board official
4,3,11140,Senior official of political party organisation
5,4,11150,"Senior official of employers', workers' and other economic-interest organisation"
6,5,11160,Senior official of humanitarian and other special-interest organisation
7,6,11201,Managing director/Chief executive officer
8,6,11202,Company director
9,6,11203,Chief operating officer/General Manager
10,7,12111,Budgeting and financial accounting manager (including financial controller)
11,7,12112,Administration manager
12,7,12113,Audit manager
13,8,12121,Personnel/Human resource manager
14,8,12122,Industrial relations manager
15,8,12123,Training manager
16,9,12131,Policy manager
17,9,12132,Strategic planning manager
18,9,12133,Risk management manager
19,10,12191,Premises and facilities maintenance manager (excluding building security manager)
20,10,12192,Landscape manager
21,10,12193,Cleaning operations manager
22,10,12194,Security manager
23,10,12195,Intellectual property manager
24,10,12199,Other business services and administration managers n.e.c.
25,11,12211,Sales manager
26,11,12212,Business development manager
27,11,12213,Regional sales manager
28,11,12214,Merchandising/category manager
29,11,12215,Online sales channel manager
30,12,12221,Advertising/Public relations manager
31,12,12222,Marketing manager
32,13,12230,Research and development manager
33,14,12241,Customer service manager
34,14,12242,Call centre manager
35,15,13100,Production manager in agriculture and fisheries
36,16,13210,Manufacturing manager
37,17,13230,Construction manager
38,18,13241,Supply and distribution/Logistics/Warehousing manager
39,18,13242,Procurement/Purchasing manager
40,18,13243,Transport/technical operations manager (except port/shipping operations)
41,18,13244,Postal service manager
42,18,13245,Port/Shipping operations manager
43,19,13291,Technical/Engineering services manager (excluding transport)
44,19,13292,Quality control/assurance manager
45,19,13299,Other production and operations managers n.e.c. (e.g. mining manager)
46,20,13301,Chief information officer/Chief technology officer/Chief security officer
47,20,13302,Software and applications manager
48,20,13303,"Network, communications and infrastructure manager"
49,20,13304,ICT service manager
50,21,13410,Pre-school education manager
51,22,13420,Health services manager
52,23,13430,Aged care services manager
53,24,13441,Social service manager
54,24,13442,Volunteer manager
55,25,13451,School principal
56,25,13459,"Other education managers (including registrars, deans of education institutions and heads of training institutions)"
57,26,13461,Financial services manager
58,26,13462,Insurance services manager
59,26,13463,Financial risk manager
60,27,13491,"National security, civil defence and immigration managerial officer"
61,27,13492,"Community, partnership and relations manager"
62,27,13493,Media and broadcasting manager
63,27,13499,"Other professional, financial, community and social services managers n.e.c."
64,28,14110,Hotel operations/Lodging services manager
65,29,14121,Restaurant manager
66,29,14122,Catering manager
67,29,14123,Food and beverage operations manager
68,30,14201,Retail manager
69,30,14202,Wholesale trade manager
70,31,14310,Sports centre manager
71,32,14321,Casino operations manager
72,32,14322,Attractions manager
73,32,14323,Discotheque/Karaoke/Nightclub manager
74,32,14324,Wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage)
75,32,14325,Community/country club manager
76,32,14329,Other recreation centre managers
77,33,14330,Arts and cultural centre manager (including gallery and museum manager)
78,34,14391,Event manager
79,34,14392,Travel agency manager
80,34,14399,Other services managers n.e.c.
81,35,21110,Physicist/Astronomer
82,36,21120,Meteorologist
83,37,21130,Chemist
84,38,21141,Geologist
85,38,21142,Geophysicist
86,38,21149,Other physical science professionals
87,39,21211,Mathematician
88,39,21212,Operations research analyst
89,39,21213,Actuary
